postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
39338,https://api.github.com/repos/golang/go/issues/39338,pr,crypto tls order cipher suit,tls suit list top client hello,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info,6,15,crypt|tls|cipher|signing|username|authorise,112,0.13392857142857142,0.8813884258270264
2810,https://api.github.com/repos/google/googletest/issues/2810,pr,fix sign unsign comparison issu openbsd,fix follow error got compil openbsd gcc,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign cla look good thank googler go info,3,14,signing|username|authorise,122,0.11475409836065574,0.8812263011932373
86,https://api.github.com/repos/magenta/magenta/issues/86,pr,pixelrnn review asset,review pixel recurr neural,thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla verifi email git sign cla corpor pleas let us know compani name cla look good thank,3,7,asset|signing|username,67,0.1044776119402985,0.8801297545433044
29647,https://api.github.com/repos/golang/go/issues/29647,pr,crypto x remov redund index,crypto x remov redund index,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github,4,13,crypt|signing|username|authorise,110,0.11818181818181818,0.8798955082893372
152,https://api.github.com/repos/google/python-fire/issues/152,pr,encod utf,need utf found includ complet repo project look good idea gener,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign found contributor licens agreement sender pull request unabl find agreement commit author co author author mayb use differ email address git commit use sign cla login doubl check author someon els need sign cla well confirm okay contribut googl order pass check pleas resolv problem pull request author add anoth comment bot run bot comment mean think anyth chang,5,21,encode|signing|username|authorise|login,173,0.12138728323699421,0.8772284388542175
3507,https://api.github.com/repos/google/guava/issues/3507,pr,updat javadoc unsignedbyt java,unsignedbyt method treat paramet unsign return least greatest valu unsign respect updat javadoc test case input run type termin output,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info cla look good thank googler go info look mention unsigned javadoc method class seem reason try submit intern soon coupl small modif,3,27,signing|username|authorise,250,0.108,0.8658920526504517
3794,https://api.github.com/repos/helm/charts/issues/3794,pr,incub cassandra allow custom securitycontext fsgrou,incub cassandra allow custom securitycontext fsgroup runasus field,thank pull request look pull request need sign contributor licens agreement cla memo pleas follow instruct sign cla take coupl minut cla signatur fulli regist pleas repli new comment verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla data verifi email git sign cla corpor pleas sign organ credenti author done still issu cla report unsign pleas email cncf helpdesk helpdeskfor interact use pr comment avail question suggest relat behavior pleas file issu repositori understand command list assign ok test assign lgtm approvalnotifi pr approv pull request approv themeier unguiculu full list command accept bot found pull request process describ approv approv file unguiculu approv indic approv write comment approv cancel approv write comment,7,15,security|signing|signature|username|credential|authorise|availability,135,0.1111111111111111,0.8644721508026123
6675,https://api.github.com/repos/ampproject/amphtml/issues/6675,pr,add endpoint public key verifi cloudflar signatur,close,thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla verifi email git sign cla corpor pleas let us know compani name sign alreadi sign review review well sign cla look good thank happi merg let team review,5,12,public key|cloudflare|signing|signature|username,80,0.15,0.8623080849647522
2665,https://api.github.com/repos/ampproject/amphtml/issues/2665,pr,urlencod social share icon svg css firefox compat,issu,thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla verifi email git sign cla corpor pleas let us know compani name sign found contributor licens agreement sender pull request unabl find agreement commit author author mayb use differ email address git commit use sign cla login doubl check author someon els need sign cla well confirm okay contribut googl sign cla look good thank lgtm,5,15,encode|signing|username|authorise|login,109,0.13761467889908258,0.8600494861602783
3076,https://api.github.com/repos/google/guava/issues/3076,pr,hashbimap unnecessari call rehashifnecessari,insert new key valu map size increas necessari,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct project maintain email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign cla look good thank null null,4,14,hash|signing|username|authorise,117,0.11965811965811966,0.8598723411560059
4486,https://api.github.com/repos/puppeteer/puppeteer/issues/4486,pr,fix instal sandbox gener protocol type,fix,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign cla look good thank googler go info close sinc direct want go,4,13,sandbox|signing|username|authorise,123,0.10569105691056911,0.8595033288002014
7323,https://api.github.com/repos/istio/istio/issues/7323,pr,add rbacconfig valid fix istio pilot crash,fix,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github approvalnotifi pr approv pull request approv adamglt fulli approv pull request pleas assign addit approv suggest follow addit approv ayj alreadi assign assign pr write comment readi full list command accept bot found pull request process describ approv approv file indic approv write comment approv cancel approv write comment hi thank pr wait member verifi patch reason test repli line done automat test new commit pr usual test command org member still work regular contributor join skip step understand command list interact use pr comment avail question suggest relat behavior pleas file issu repositori wrong branch send releas pleas reopen,6,17,rbac|validate|signing|username|authorise|availability,208,0.08173076923076923,0.8590758442878723
21191,https://api.github.com/repos/tensorflow/tensorflow/issues/21191,pr,correct hash bucket size paramet,sinc correct argument spell python method,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github sign cla look good thank thank clean,4,13,hash|signing|username|authorise,118,0.11016949152542373,0.858256459236145
1566,https://api.github.com/repos/puppeteer/puppeteer/issues/1566,pr,throw except cooki blank page,deprec pleas refer origin cooki blank page follow except,thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla verifi email git compani sign cla design point contact decid employe author particip need contact point contact compani ask ad group author contributor know point contact direct project maintain go cla troubleshoot order pass check pleas resolv problem pull request author add anoth comment bot run sign found contributor licens agreement sender pull request unabl find agreement commit author author mayb use differ email address git commit use sign cla login doubl check author someon els need sign cla well confirm okay contribut googl order pass check pleas resolv problem pull request author add anoth comment bot run,5,20,cookie|signing|username|authorise|login,156,0.1282051282051282,0.8536044955253601
4178,https://api.github.com/repos/tensorflow/models/issues/4178,pr,fix unicodeencodeerror ascii codec encod,latin work input map byte valu first unicod codepoint directli,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain go cla troubleshoot go cla troubleshoot public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github,4,13,encode|signing|username|authorise,121,0.10743801652892562,0.8509985208511353
40700,https://api.github.com/repos/tensorflow/tensorflow/issues/40700,pr,add arm sourc file aws checksum,accord seem aws lib need add arm relat lib build tensorflow packag,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info recheck thank contribut pleas sign cla thank hi sign individu cla sure whether cla label remov,4,14,checksum|signing|username|authorise,135,0.1037037037037037,0.8497754335403442
4411,https://api.github.com/repos/helm/charts/issues/4411,pr,bitcoind add initcontain copi bypass read configmap mount,pr fix issu chart bug read configmap mount,thank pull request look pull request need sign contributor licens agreement cla memo pleas follow instruct sign cla take coupl minut cla signatur fulli regist pleas repli new comment verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla data verifi email git sign cla corpor pleas sign organ credenti author done still issu cla report unsign pleas email cncf helpdesk helpdeskfor interact use pr comment avail question suggest relat behavior pleas file issu repositori understand command list assign lgtm ok test lgtm approvalnotifi pr approv pull request approv raybotha timstoop unguiculu full list command accept bot found pull request process describ approv approv file unguiculu approv indic approv write comment approv cancel approv write comment,7,13,bypass|signing|signature|username|credential|authorise|availability,138,0.09420289855072464,0.848879337310791
2531,https://api.github.com/repos/tensorflow/tfjs/issues/2531,pr,fix error messag avoid cryptic error,see log cloud build ci pleas join either mail list chang,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign cla look good thank googler go info,4,13,crypt|signing|username|authorise,126,0.10317460317460317,0.8428024649620056
30381,https://api.github.com/repos/golang/go/issues/30381,pr,contain heap avoid memori leak,element slice nil avoid memori leak,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info sign found contributor licens agreement sender pull request unabl find agreement commit author co author author mayb use differ email address git commit use sign cla login doubl check author someon els need sign cla well confirm okay contribut googl order pass check pleas resolv problem pull request author add anoth comment bot run bot comment mean think anyth chang googler go info chang primari email account,5,22,leak|signing|username|authorise|login,181,0.12154696132596685,0.8425484895706177
12749,https://api.github.com/repos/grpc/grpc/issues/12749,pr,fix race condit composit credenti,fix,thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla verifi email git compani sign cla design point contact decid employe author particip need contact point contact compani ask ad group author contributor know point contact direct project maintain go cla troubleshoot order pass check pleas resolv problem pull request author add anoth comment bot run cla look good thank known issu,5,12,race condition|credential|signing|username|authorise,102,0.11764705882352941,0.8416986465454102
3939,https://api.github.com/repos/helm/charts/issues/3939,pr,add ssl cert support amqp,ad support ssl certificat amqp,thank pull request look pull request need sign contributor licens agreement cla memo pleas follow instruct sign cla take coupl minut cla signatur fulli regist pleas repli new comment verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla data verifi email git sign cla corpor pleas sign organ credenti author done still issu cla report unsign pleas email cncf helpdesk helpdeskfor interact use pr comment avail question suggest relat behavior pleas file issu repositori understand command list approvalnotifi pr approv pull request approv laghoul fulli approv pull request pleas assign addit approv suggest follow addit approv mattfarina assign pr write comment readi full list command accept bot found pull request process describ approv approv file indic approv write comment approv cancel approv write comment hi thank pr wait member verifi patch reason test repli line done automat test new commit pr usual test command org member still work regular contributor join skip step understand command list interact use pr comment avail question suggest relat behavior pleas file issu repositori,8,17,ssl|certificate|signing|signature|username|credential|authorise|availability,186,0.0913978494623656,0.8416709303855896
1611,https://api.github.com/repos/google/gson/issues/1611,pr,jsonprimit consid integr lazilyparsednumb integr evalu hashcod,fix bug describ two jsonprimit equal differ hashcod,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info fix found contributor licens agreement sender pull request unabl find agreement commit author co author author mayb use differ email address git commit use sign cla login doubl check author someon els need sign cla well confirm okay contribut googl order pass check pleas resolv problem comment bot comment mean think anyth chang googler go info pht sign cla account fix issu result commit made wrong account close open new pr,6,23,integrity|hash|signing|username|authorise|login,187,0.12299465240641712,0.8407319784164429
497,https://api.github.com/repos/android/architecture-samples/issues/497,pr,remov unus inject statisticspresent statisticsact,mstatiticspresent miss small anyway,thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address commit check exist cla verifi email git compani sign cla design point contact decid employe author particip need contact point contact compani ask ad group author contributor know point contact direct project maintain go cla troubleshoot email use regist author contributor must email use git commit order pass check pleas resolv problem pull request author add anoth comment bot run bot comment mean think anyth chang sign cla look good thank hi need anyth pr,4,13,inject|signing|username|authorise,125,0.104,0.8355888724327087
31902,https://api.github.com/repos/golang/go/issues/31902,pr,tls cipher add aes sha,tls cipher add aes sha,thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github googler go info add aes sha cipher open url bye,7,22,tls|cipher|aes|sha|signing|username|authorise,120,0.18333333333333332,0.8320292830467224
2725,https://api.github.com/repos/helm/helm/issues/2725,pr,fix sha dgst,fix openssl call gener sha,thank pull request look pull request need sign contributor licens agreement cla memo pleas follow instruct sign cla take coupl minut cla signatur fulli regist pleas repli new comment verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla data verifi email git sign cla corpor pleas sign organ credenti author done still issu cla report unsign pleas email cncf helpdesk helpdeskfor interact use pr comment avail question suggest relat behavior pleas file issu repositori understand command list issu exist,8,14,sha|openssl|signing|signature|username|credential|authorise|availability,94,0.14893617021276595,0.8256391286849976
5705,https://api.github.com/repos/istio/istio/issues/5705,pr,openssl base encod decod instal script,openssl base encod decod instal script make work maco,approvalnotifi pr approv pull request approv smirgel fulli approv pull request pleas assign addit approv suggest follow addit approv sbezverk assign pr write comment readi full list command accept bot found pull request process describ approv approv file indic approv write comment approv cancel approv write comment thank pull request look first contribut googl open sourc project look help look pull request need sign contributor licens agreement cla memo pleas visit sign sign fix issu pleas repli e g verifi alreadi sign cla individu signer possibl github usernam use differ email address commit check exist cla verifi email git corpor signer compani point contact decid employe author particip ask poc ad group author contributor know point contact direct googl project maintain go cla troubleshoot go cla troubleshoot public email use regist author contributor must email use git commit check exist cla verifi email git email use regist author contributor must attach github hi thank pr wait member verifi patch reason test repli line done automat test new commit pr usual test command org member still work regular contributor join skip step understand command list interact use pr comment avail question suggest relat behavior pleas file issu repositori pleas request merg branch thank,8,22,openssl|encode|decode|scripting|signing|username|authorise|availability,218,0.10091743119266056,0.8253867030143738
3865,https://api.github.com/repos/helm/charts/issues/3865,pr,add kubernet audit input,add audit input option avoid overrid configmap manag helm,thank pull request look pull request need sign contributor licens agreement cla memo pleas follow instruct sign cla take coupl minut cla signatur fulli regist pleas repli new comment verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla data verifi email git sign cla corpor pleas sign organ credenti author done still issu cla report unsign pleas email cncf helpdesk helpdeskfor interact use pr comment avail question suggest relat behavior pleas file issu repositori understand command list hi thank pr wait member verifi patch reason test repli line done automat test new commit pr usual test command org member still work regular contributor join skip step understand command list interact use pr comment avail question suggest relat behavior pleas file issu repositori approvalnotifi pr approv pull request approv azman fulli approv pull request pleas assign addit approv suggest follow addit approv viglesiasc assign pr write comment readi full list command accept bot found pull request process describ approv approv file indic approv write comment approv cancel approv write comment,7,16,audit|signing|signature|username|credential|authorise|availability,189,0.08465608465608465,0.8211719393730164
